"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","00:00:07.8444535","","","","","","","",""
"","","","","00:00:00.5962917","","","","","",""
"","","","","","","","00:00:00.0830634","","",""
"","","","","","","","","","","00:00:00.5903746"
"","","","","","","","","","00:00:00.3836565",""
"","","","","","","00:00:00.4222241","","","",""
"","","","00:00:00.7508325","","","","","","",""
"","","","","","","00:00:00.9667288","","","",""
"","","00:00:00.5235686","","","","","","","",""
"","","","","","00:00:00.0394540","","","","",""
"","","","","","00:00:00.1773683","","","","",""
"","","","","","","","","00:00:00.3703851","",""
"","","","","","","","","","00:00:00.0411327",""
"","","","","","","","00:00:00.5017570","","",""
"38","What is considered the king of herbs by many cookery authors?","Tea","Parsley","Borage","Lemon balm","Oregano","Dill","Basil","Thyme","Rosemary"
"","","Slightly Negative","Moderately Negative","Idle","Highly Negative","Idle","Moderately Possitive","Highly Possitive","Slightly Possitive","Moderately Negative"
"","","","","","","","00:00:07.2221388","","",""
"","","","","","","","","00:00:00.9021778","",""
"","","","","","","00:00:00.0236063","","","",""
"","","","00:00:00.0222428","","","","","","",""
"","","","00:00:00.7404765","","","","","","",""
"","","","","","","","","00:00:01.2254764","",""
"39","Who is the writer of Adventures of Robinson Crusoe?","Anthony Burgess","Stephen King","George Orwell","Jules Verne","Daniel Defoe","Ray Bradbury","Ernest Hemingway","Mark Twain","Jean-Jacques Rousseau"
"","","Slightly Negative","Idle","Moderately Negative","Idle","Highly Possitive","Moderately Possitive","Highly Negative","Moderately Negative","Slightly Possitive"
"","","","","","","","00:00:06.6304628","","",""
"","","","00:00:00.5060360","","","","","","",""
"","","00:00:00.9915707","","","","","","","",""
"","","","","","00:00:00.9373949","","","","",""
"","","","","","","","","00:00:01.0003522","",""
"","","","","","","","","","00:00:00.7147171",""
"","","","","","","00:00:03.6950571","","","",""
"","","","","","","","","","00:00:00.2039956",""
"40","Which one was the first web based e-mail service?","Mail.com","Yandex","Zoho","FastMail","Yahoo! Mail","GMX","Hotmail","Gmail","AOL"
"","","Highly Negative","Slightly Negative","Moderately Negative","Idle","Highly Possitive","Moderately Negative","Moderately Possitive","Slightly Possitive","Idle"
"","","","","","","","00:00:09.9189271","","",""
"","","","","","","","","","","00:00:00.0884656"
"","","","","","","","","","","00:00:00.8677772"
"","","","","","","","","","00:00:00.1170600",""
"","","","","","","","","00:00:01.0503445","",""
"","","","","","","","","","00:00:00.8332079",""
"","","","","","","00:00:01.1796005","","","",""
"","","","","","","","","","","00:00:00.0225234"
"","","","","","","","","","","00:00:00.0640465"
"","","","","","","","00:00:00.8176321","","",""
"","","","","","","","","","","00:00:00.2743855"
"41","Celsius and Fahrenheit show the same temperature at:","459","116","273","100","-40","12","0","-273","-32"
"","","Idle","Highly Negative","Moderately Possitive","Moderately Negative","Moderately Negative","Slightly Negative","Idle","Slightly Possitive","Highly Possitive"
"","","","","","","","","","","00:00:23.0953655"
"","","","","","","00:00:01.4704208","","","",""
"","","","","","","","00:00:00.9006566","","",""
"","","","","","","","","","","00:00:01.7802274"
"","","","","","","","","00:00:00.9670155","",""
"","","","","","00:00:00.7569308","","","","",""
"","","00:00:00.5011047","","","","","","","",""
"","","","00:00:00.4821763","","","","","","",""
"","","","","00:00:00.6477521","","","","","",""
"","","","00:00:00.8158718","","","","","","",""
"","","","","00:00:00.8759243","","","","","",""
"","","","","","","","00:00:01.3077012","","",""
"","","","","","","00:00:00.8609505","","","",""
"","","","","","","","","","00:00:01.7072101",""
"","","","","","","00:00:00.9067567","","","",""
