"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","","","","","00:00:01.3721096","",""
"","","","","","00:00:00.7599446","","","","",""
"","","","","","","00:00:01.0327741","","","",""
"","","","00:00:00.9901684","","","","","","",""
"30","The ulna is a long bone in which part of the body?","Pelvis","Chest","Ear","Neck","Foot","Face","Hand","Arm","Leg"
"","","Idle","Highly Possitive","Highly Negative","Slightly Negative","Moderately Negative","Moderately Possitive","Slightly Possitive","Moderately Negative","Idle"
"","","","","","","","","00:00:07.8883659","",""
"","","","","","","","","","00:00:00.0914046",""
"","","","","","","00:00:00.0266153","","","",""
"","","","","00:00:00.3011333","","","","","",""
"31","Which musical family does the saxophone belong to?","Folk","Keyboard","Blues","Jazz","Percussion","Woodwind","Classic","Brass","Strings"
"","","Highly Possitive","Idle","Highly Negative","Slightly Possitive","Idle","Moderately Possitive","Moderately Negative","Moderately Negative","Slightly Negative"
"","","","","","","","00:00:03.1872241","","",""
"","","","","","","00:00:01.1431395","","","",""
"32","In what country would you find Mount Kilimanjaro?","Kenya","Nepal","Switzerland","Colombia","Tanzania","Kazakhistan","United States","South Africa","Congo"
"","","Slightly Possitive","Highly Negative","Highly Possitive","Idle","Moderately Negative","Idle","Slightly Negative","Moderately Negative","Moderately Possitive"
"","","","","","","00:00:04.0156304","","","",""
"","","","","","","","","","","00:00:00.1837753"
"","","","","","","","","","00:00:00.1400291",""
"","","","","","","","","00:00:00.1182320","",""
"","","","","","00:00:00.0448307","","","","",""
"","","00:00:00.8248909","","","","","","","",""
"","","","00:00:00.0888272","","","","","","",""
"","","","00:00:00.0230437","","","","","","",""
"","","","00:00:00.0465305","","","","","","",""
"","","","00:00:00.1340184","","","","","","",""
"","","","","00:00:00.1613783","","","","","",""
"","","","","00:00:00.0222053","","","","","",""
"","","","","","","","00:00:00.1397881","","",""
"","","","","","","","00:00:00.1357122","","",""
"","","","","","","","00:00:00.2957282","","",""
"","","","","","00:00:00.2055149","","","","",""
"","","","","","00:00:00.3911272","","","","",""
"","","","","","","","","00:00:00.2298703","",""
"","","","","","","","","","","00:00:00.4106163"
"","","","","","","","","","00:00:01.6154104",""
"","","","","","","00:00:00.4314710","","","",""
"","","00:00:01.1281025","","","","","","","",""
"","","","","","","00:00:00.8396454","","","",""
"","","","","","","","","","00:00:00.8166925",""
"","","","","","","00:00:01.3447817","","","",""
"","","00:00:00.2719048","","","","","","","",""
"33","Old Trafford stadium is located near what major city?","Nottingham","Edinburgh","Southampton","Manchester","London","Trafford","Newcastle","Liverpool","Glasgow"
"","","Idle","Slightly Negative","Moderately Negative","Highly Possitive","Moderately Negative","Slightly Possitive","Moderately Possitive","Highly Negative","Idle"
"","","00:00:03.0297269","","","","","","","",""
"","","","","","","00:00:00.0445596","","","",""
"","","","","","","00:00:00.7561627","","","",""
"34","Yellow Egg is a variety of which fruit?","Apricot","Pineapple","Melon","Korean Melon","Pear","Mango","Plum","Lemon","Carambola"
"","","Moderately Possitive","Highly Possitive","Moderately Negative","Slightly Negative","Idle","Idle","Highly Negative","Moderately Negative","Slightly Possitive"
"","","","","","","00:00:02.2474745","","","",""
"","","","","","","","00:00:00.0891340","","",""
"","","","","00:00:00.8450593","","","","","",""
"","","","","","","","00:00:02.6205189","","",""
"","","","","","","","","","","00:00:01.1372933"
"","","","","","","","","","00:00:01.0498908",""
"","","","","","","00:00:00.9111253","","","",""
"","","","00:00:01.3742688","","","","","","",""
"","","00:00:00.8488296","","","","","","","",""
"","","","","","00:00:01.1242036","","","","",""
"","","","","","","","","00:00:01.1500151","",""
"","","","","","","00:00:00.0457222","","","",""
"","","","","","","","00:00:01.0333548","","",""
"","","","","00:00:01.5634005","","","","","",""
"","","","00:00:01.3308101","","","","","","",""
"35","Hypophosphatasia affects what part of the body?","Muscles","Liver","Blood","Bones","Lungs","Kidney","Brain","Eyes","Nerves"
"","","Moderately Negative","Moderately Negative","Slightly Negative","Highly Possitive","Idle","Highly Negative","Moderately Possitive","Slightly Possitive","Idle"
"","","","00:00:15.8350533","","","","","","",""
"","","","","00:00:00.7811464","","","","","",""
"","","","","","","","00:00:00.6618651","","",""
"","","","","","","","","","","00:00:00.7597715"
"","","","","","","","","","00:00:00.8033484",""
"","","","","","","00:00:00.8443126","","","",""
"","","","","","00:00:01.2507070","","","","",""
"","","00:00:00.8555838","","","","","","","",""
"","","","","","00:00:00.0226593","","","","",""
"","","","","","","","","00:00:00.6962916","",""
"","","","","","00:00:00.5283797","","","","",""
"36","Who directed the 2001 re-make of the film Oceans 11?","Quentin Tarantino","Steven Soderbergh","Tom Hanks","Wolfgang Petersen","Tony Gilroy","James Cameron","Woody Allen","Martin Scorsese","Robert Rodriguez"
"","","Moderately Possitive","Highly Possitive","Slightly Negative","Moderately Negative","Highly Negative","Slightly Possitive","Idle","Idle","Moderately Negative"
"","","","","","","","","00:00:06.8845674","",""
"","","","","","","","","","00:00:00.0212558",""
"","","","","","","","","","","00:00:01.5827298"
"","","","","","","","00:00:00.7591328","","",""
"","","","","00:00:00.5220610","","","","","",""
"","","","00:00:00.4816031","","","","","","",""
"","","","","","","00:00:00.8325895","","","",""
"","","","","","","","","","00:00:00.0739672",""
"","","","","","","","","","00:00:01.0373451",""
"37","In the Republic of Ireland, the Yellow Pages are known as what?","Rainbow Pages","Yellow Books","Red Pages","Purple pages","White Pages","Silver Pages","Green Pages","Golden Pages","Blue Pages"
"","","Highly Negative","Slightly Possitive","Moderately Negative","Moderately Possitive","Idle","Slightly Negative","Idle","Highly Possitive","Moderately Negative"
"","","","","","","","","","00:00:03.3794907",""
"","","","","","","00:00:00.0220133","","","",""
"","","00:00:00.0214547","","","","","","","",""
"","","00:00:00.7063481","","","","","","","",""
"","","","","","00:00:01.2431003","","","","",""
"","","","","","","","","00:00:01.6397168","",""
