"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","00:00:01.3597854","","","","","","","",""
"","","","00:00:00.8241463","","","","","","",""
"","","","","00:00:00.5580570","","","","","",""
"","","","","","","","00:00:00.7325157","","",""
"","","","","","","00:00:00.8610536","","","",""
"","","","","","00:00:00.8658692","","","","",""
"","","","","","","","","00:00:01.1518717","",""
"","","","","","","","","","00:00:00.6428010",""
"","","","","","","","","","","00:00:01.6951301"
"22","Name the country which is the craddle of western classic music, known as The land of music?","Sweden","Belgium","Austria","Netherlands","United States","Switzerland","England","France","Germany"
"","","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Moderately Negative","Slightly Possitive","Idle","Idle","Highly Negative"
"","","","","","","","","","","00:00:02.7689241"
"","","","","","","","00:00:00.0226878","","",""
"","","","00:00:00.0711543","","","","","","",""
"","","","00:00:00.0210100","","","","","","",""
"","","00:00:01.0280199","","","","","","","",""
"","","","00:00:00.9643001","","","","","","",""
"","","","","00:00:01.3181997","","","","","",""
"23","Where is the headquarters of United Nations?","London, UK","Chicago, USA","New York City, USA","Berlin, Germany","Moscow, Russia","Paris, France","Geneva, Switzerland","Beijing, China","Los Angeles, USA"
"","","Highly Negative","Idle","Highly Possitive","Moderately Negative","Moderately Negative","Moderately Possitive","Idle","Slightly Negative","Slightly Possitive"
"","","","","00:00:05.6095968","","","","","",""
"","","","","","","","00:00:00.3174893","","",""
"","","","","","","","","","","00:00:00.5167414"
"","","","","","","","","","00:00:00.0685526",""
"","","","","","","","","","00:00:00.1117913",""
"","","","","","00:00:00.2449014","","","","",""
"","","","","","","","","00:00:00.3336819","",""
"","","","00:00:00.0222948","","","","","","",""
"","","","","00:00:00.1602187","","","","","",""
"","","","","00:00:00.8374796","","","","","",""
"24","Who is the writer of Adventures of Huckleberry Finn?","George Eliot","Peter Lynch","Raymond Chandler","Agatha Christie","Ernest Hemingway","Jules Verne","Shel Silverstein","Mark Twain","Stephen King"
"","","Idle","Moderately Negative","Moderately Possitive","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Highly Possitive","Slightly Negative"
"","","","","00:00:04.4391600","","","","","",""
"","","","","","","","00:00:00.0462161","","",""
"","","","","00:00:00.8596185","","","","","",""
"","","","00:00:00.6663560","","","","","","",""
"","","00:00:00.6731418","","","","","","","",""
"","","","","","00:00:00.9895353","","","","",""
"","","","","","","00:00:00.6714189","","","",""
"","","","","","","","00:00:00.7661798","","",""
"","","","","","","","","","","00:00:00.6986459"
"","","","","","","","","","00:00:01.7016403",""
"","","","","","","","","00:00:00.7588554","",""
"","","","","","","","","","00:00:00.8292528",""
"25","Who is the writer of Brief History of Time?","Richard Feynman","Kip S. Thorne","Steven Weinberg","Neil deGrasse Tyson","Michio Kaku","Stephen Hawking","Albert Einstein","Richard Dawkins","Alan Guth"
"","","Moderately Possitive","Moderately Negative","Slightly Possitive","Idle","Slightly Negative","Highly Possitive","Moderately Negative","Highly Negative","Idle"
"","","","","","","","","","00:00:02.8154893",""
"","","","","","","00:00:00.0221779","","","",""
"","","","00:00:00.0217942","","","","","","",""
"","","00:00:00.8109906","","","","","","","",""
"","","","00:00:00.5977656","","","","","","",""
"","","","","00:00:00.4651794","","","","","",""
"","","","","","","","00:00:01.3962229","","",""
"26","Anemometer is an instrument used for measuring?","Water speed","Light speed","Wind speed","Size of stars","Distance of stars from Earth","Objects speed","Distance between two stars","Age of stars","Sound Speed"
