"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"37","In the Republic of Ireland, the Yellow Pages are known as what?","Purple pages","Green Pages","Blue Pages","Yellow Books","White Pages","Rainbow Pages","Silver Pages","Golden Pages","Red Pages"
"","","Moderately Possitive","Slightly Possitive","Idle","Highly Negative","Moderately Negative","Moderately Negative","Slightly Negative","Idle","Highly Possitive"
"","","00:00:10.0432904","","","","","","","",""
"","","","","","00:00:01.5670177","","","","",""
"","","","","","","00:00:00.7519490","","","",""
"","","","00:00:00.2956233","","","","","","",""
"","","","","00:00:00.4947603","","","","","",""
"","","","","","","","00:00:00.4544902","","",""
"","","","","","","","","","","00:00:00.4354580"
"","","","","","","","","","00:00:00.4196010",""
"","","","","","","","","00:00:00.3343510","",""
"","","","","","00:00:02.0606034","","","","",""
"38","What is considered the king of herbs by many cookery authors?","Rosemary","Basil","Parsley","Dill","Borage","Lemon balm","Thyme","Oregano","Tea"
"","","Moderately Negative","Idle","Slightly Negative","Slightly Possitive","Moderately Possitive","Highly Possitive","Idle","Moderately Negative","Highly Negative"
"","","","","","00:00:07.6130762","","","","",""
"","","","00:00:01.2444607","","","","","","",""
"","","","","","","00:00:00.0436452","","","",""
"","","","","","","","00:00:00.6492346","","",""
"","","","","","","","","","00:00:00.9790994",""
"","","","","","","","","00:00:00.4082964","",""
"","","","","","00:00:00.0480621","","","","",""
"","","00:00:01.0274484","","","","","","","",""
"","","","00:00:01.2807281","","","","","","",""
"39","Who is the writer of Adventures of Robinson Crusoe?","Daniel Defoe","George Orwell","Stephen King","Mark Twain","Jean-Jacques Rousseau","Jules Verne","Ernest Hemingway","Anthony Burgess","Ray Bradbury"
"","","Highly Negative","Moderately Negative","Highly Possitive","Slightly Possitive","Slightly Negative","Idle","Moderately Possitive","Idle","Moderately Negative"
"","","","00:00:07.2048588","","","","","","",""
"","","","","00:00:01.5165605","","","","","",""
"","","","","","","","00:00:01.1476035","","",""
"","","","","","","00:00:08.3233688","","","",""
